BEGIN_BASIC_INFO
  52  # num of atoms 
 156  # num of modes 
END_BASIC_INFO

BEGIN_DATA_1
  BEGIN_DESCRIPTION_1

                 2         2
                  2       2
                   2     2
               D2  |2   2
                   | 222
                   |  |
                   |  |
              1    |  | 1
               1   |  |1
                1  |  1
                 1 | 1  D1
                  111

    Q1 = S(1 <- 2) Q2 + D2
    Q1 = S2        Q2 + D2
    Q2 = S(2 <- 1) Q1 + D1
    Q2 = S1        Q1 + D1
    n              : index of mode, from 1 to 3n
    m              : index of mode, from 1 to 3n-6
    sym            : irreducible representation
    freq   (cm-1 ) : frequency
    D      (a.u. ) : displacement of mode
    delta  ( 1   ) : dimensionless projection, delta = D * SQRT(freq)
    HR     ( 1   ) : Huang-Rhys factor, HR = 0.5 * delta^2 
    lam    (cm-1 ) : reorganization energy, lam = HR * \hbar * freq
	ZPE1 (Ground ) :   93747.9785898 cm-1
	ZPE2 (Excited) :   93057.0567109 cm-1
	ZPE2 - ZPE1    :     -690.9218789 cm-1
  END_DESCRIPTION_1
  BEGIN_OUTPUT_1
============================================================================================================================================
   n   m sym1   freq1         D1     delta1        HR1       lam1 sym2   freq2         D2     delta2        HR2       lam2    g    e   S(g,e)
 139 133    A 3215.46     0.00000   0.00000    0.00000       0.00    A 3198.08    -0.00004   0.00001    0.00000       0.00  139  139  -0.0107
 140 134    A 3215.47    -0.04646   0.00565    0.00002       0.05    A 3203.69     0.00048   0.00006    0.00000       0.00  140  140   0.0000
 141 135    A 3218.51     0.00001   0.00000    0.00000       0.00    A 3205.54    -0.08256   0.01003    0.00005       0.16  141  141   0.0000
 142 136    A 3221.76     0.00006   0.00001    0.00000       0.00    A 3206.78    -0.00297   0.00036    0.00000       0.00  142  142  -0.0088
 143 137    A 3222.67    -0.00946   0.00115    0.00000       0.00    A 3206.80     0.04509   0.00548    0.00002       0.05  143  143  -0.0039
 144 138    A 3222.68    -0.00013   0.00002    0.00000       0.00    A 3208.32    -0.04398   0.00534    0.00001       0.05  144  144   0.0001
 145 139    A 3223.48     0.07529   0.00917    0.00004       0.14    A 3210.54     0.00005   0.00001    0.00000       0.00  145  145   0.0000
 146 140    A 3225.57    -0.00005   0.00001    0.00000       0.00    A 3213.69    -0.00025   0.00003    0.00000       0.00  146  146   0.0044
 147 141    A 3227.74    -0.02335   0.00285    0.00000       0.01    A 3213.70    -0.00135   0.00016    0.00000       0.00  147  147   0.0170
 148 142    A 3229.62     0.00018   0.00002    0.00000       0.00    A 3218.21    -0.00032   0.00004    0.00000       0.00  148  148   0.0206
 149 143    A 3229.63    -0.00057   0.00007    0.00000       0.00    A 3223.38    -0.00031   0.00004    0.00000       0.00  149  149  -0.1784
 150 144    A 3236.88    -0.00232   0.00028    0.00000       0.00    A 3223.38     0.00081   0.00010    0.00000       0.00  150  150  -0.0023
 151 145    A 3236.88    -0.01821   0.00222    0.00000       0.01    A 3225.31     0.11463   0.01397    0.00010       0.31  151  151   0.0049
 152 146    A 3237.72    -0.11091   0.01354    0.00009       0.30    A 3227.02    -0.18623   0.02269    0.00026       0.83  152  152  -0.0546
 153 147    A 3238.35     0.00006   0.00001    0.00000       0.00    A 3229.41    -0.00476   0.00058    0.00000       0.00  153  153  -0.0386
 154 148    A 3243.36     0.00018   0.00002    0.00000       0.00    A 3229.41     0.00547   0.00067    0.00000       0.00  154  154  -0.0013
 155 149    A 3243.41    -0.08763   0.01071    0.00006       0.19    A 3236.59     0.00150   0.00018    0.00000       0.00  155  155   0.0178
 156 150    A 3244.35     0.15464   0.01890    0.00018       0.58    A 3236.66    -0.08390   0.01024    0.00005       0.17  156  156   0.0456
--------------------------------------------------------------------------------------------------------------------------------------------
  Total reorganization energy      (cm-1):         1148.310528        907.423558
--------------------------------------------------------------------------------------------------------------------------------------------
--------------------------------------------------------------------------------------------------------------------------------------------
  END_OUTPUT_1
END_DATA_1

BEGIN_DUSH_1     Delta DUSH =   #######
  BEGIN_DUSH_INFORMATION1
  Qg = S(g,e) Qe + Dg
  END_DUSH_INFORMATION1
  BEGIN_DUSH_DATA_1
--------------------------------------------------------------------------------------------------------------------------------------------
  MODE       1
 1.000000e+00 -1.000000e+00 -3.221440e-01  1.000000e+00  1.000000e+00  1.000000e+00  1.000000e+00  1.000000e+00  1.000000e+00 -1.000000e+00
-1.000000e+00 -1.000000e+00 -1.000000e+00 -1.000000e+00 -1.000000e+00  1.000000e+00 -1.000000e+00 -1.000000e+00  1.000000e+00 -1.000000e+00
-1.000000e+00 -1.000000e+00 -1.000000e+00 -1.000000e+00  1.000000e+00 -1.000000e+00  1.543460e-01 -1.000000e+00  1.000000e+00  1.000000e+00
-1.000000e+00 -1.000000e+00 -1.000000e+00  1.000000e+00  1.000000e+00  1.000000e+00  1.000000e+00  1.000000e+00 -1.000000e+00 -1.000000e+00
-1.000000e+00 -1.000000e+00 -1.000000e+00  1.000000e+00 -1.000000e+00 -1.000000e+00 -1.000000e+00  1.000000e+00 -1.000000e+00 -1.000000e+00
 1.000000e+00 -1.000000e+00 -4.394015e-01  1.000000e+00  1.000000e+00  1.000000e+00  1.000000e+00 -1.000000e+00  1.000000e+00 -1.000000e+00
 1.000000e+00  8.850529e-01  2.723227e-01 -1.000000e+00  6.583721e-01 -1.000000e+00  1.000000e+00  8.465221e-02  1.000000e+00 -1.000000e+00
-1.000000e+00 -1.000000e+00 -1.000000e+00 -1.000000e+00  1.048317e-01  7.052398e-02 -5.332354e-01  2.405041e-02 -1.000000e+00 -1.000000e+00
-1.000000e+00 -1.000000e+00 -1.000000e+00  1.000000e+00  1.000000e+00  1.000000e+00 -1.000000e+00 -1.000000e+00 -1.000000e+00 -1.000000e+00
 1.000000e+00  1.000000e+00 -1.000000e+00  1.000000e+00  1.000000e+00  1.000000e+00 -1.000000e+00 -1.000000e+00 -1.000000e+00  1.000000e+00
