BEGIN_BASIC_INFO
  52  # num of atoms 
 156  # num of modes 
END_BASIC_INFO

BEGIN_DATA_1
  BEGIN_DESCRIPTION_1

                 2         2
                  2       2
                   2     2
               D2  |2   2
                   | 222
                   |  |
                   |  |
              1    |  | 1
               1   |  |1
                1  |  1
                 1 | 1  D1
                  111

    Q1 = S(1 <- 2) Q2 + D2
    Q1 = S2        Q2 + D2
    Q2 = S(2 <- 1) Q1 + D1
    Q2 = S1        Q1 + D1
    n              : index of mode, from 1 to 3n
    m              : index of mode, from 1 to 3n-6
    sym            : irreducible representation
    freq   (cm-1 ) : frequency
    D      (a.u. ) : displacement of mode
    delta  ( 1   ) : dimensionless projection, delta = D * SQRT(freq)
    HR     ( 1   ) : Huang-Rhys factor, HR = 0.5 * delta^2 
    lam    (cm-1 ) : reorganization energy, lam = HR * \hbar * freq
	ZPE1 (Ground ) :   93747.9785898 cm-1
	ZPE2 (Excited) :   93273.3384473 cm-1
	ZPE2 - ZPE1    :     -474.6401425 cm-1
  END_DESCRIPTION_1
  BEGIN_OUTPUT_1
============================================================================================================================================
   n   m sym1   freq1         D1     delta1        HR1       lam1 sym2   freq2         D2     delta2        HR2       lam2    g    e   S(g,e)
  76  70    A 1008.91     0.01142   0.00078    0.00000       0.00    A 1007.53    -0.04134   0.00282    0.00000       0.00   76   76   0.9888
  77  71    A 1023.62     0.00113   0.00008    0.00000       0.00    A 1011.76     0.04273   0.00292    0.00000       0.00   77   77  -0.0004
  78  72    A 1023.71    -0.89738   0.06159    0.00190       1.94    A 1018.35    -0.00868   0.00059    0.00000       0.00   78   78  -0.0002
  79  73    A 1025.25    -0.00031   0.00002    0.00000       0.00    A 1019.36     0.00075   0.00005    0.00000       0.00   79   79  -0.0011
  80  74    A 1026.80    -0.00258   0.00018    0.00000       0.00    A 1019.77     0.93013   0.06372    0.00203       2.07   80   80   0.0005
  81  75    A 1031.35     0.00018   0.00001    0.00000       0.00    A 1028.76     0.00085   0.00006    0.00000       0.00   81   81   0.9994
  82  76    A 1031.36     0.00008   0.00001    0.00000       0.00    A 1028.76    -0.00023   0.00002    0.00000       0.00   82   82  -0.9996
  83  77    A 1035.34     1.48141   0.10226    0.00523       5.41    A 1047.42    -0.00010   0.00001    0.00000       0.00   83   83   0.0001
  84  78    A 1039.97    -0.00045   0.00003    0.00000       0.00    A 1058.59    -0.62523   0.04364    0.00095       1.01   84   84   0.0000
  85  79    A 1055.69     2.13563   0.14886    0.01108      11.70    A 1065.46     0.80102   0.05609    0.00157       1.68   85   85   0.0172
  86  80    A 1059.59     0.13057   0.00912    0.00004       0.04    A 1067.34     0.00044   0.00003    0.00000       0.00   86   86   0.0000
  87  81    A 1067.92     0.00029   0.00002    0.00000       0.00    A 1088.54     0.27892   0.01974    0.00019       0.21   87   87  -0.0000
  88  82    A 1090.04     1.36228   0.09648    0.00465       5.07    A 1094.03    -1.67728   0.11901    0.00708       7.75   88   88   0.9200
  89  83    A 1119.23    -0.00008   0.00001    0.00000       0.00    A 1119.93    -0.00200   0.00014    0.00000       0.00   89   89  -0.9994
  90  84    A 1119.24    -0.01514   0.00109    0.00000       0.00    A 1119.95    -0.02889   0.00207    0.00000       0.00   90   90  -0.9990
  91  85    A 1165.04     0.00004   0.00000    0.00000       0.00    A 1153.35    -0.00002   0.00000    0.00000       0.00   91   91  -0.9608
  92  86    A 1172.07     2.71666   0.19952    0.01990      23.33    A 1166.84     0.00026   0.00002    0.00000       0.00   92   92  -0.0000
  93  87    A 1183.53    -0.00010   0.00001    0.00000       0.00    A 1190.65    -2.89298   0.21414    0.02293      27.30   93   93  -0.0001
  94  88    A 1197.04     0.00017   0.00001    0.00000       0.00    A 1196.78    -0.08744   0.00649    0.00002       0.03   94   94  -0.0155
  95  89    A 1197.04    -0.04841   0.00359    0.00001       0.01    A 1196.79    -0.00153   0.00011    0.00000       0.00   95   95  -0.0155
  96  90    A 1204.92     3.53962   0.26358    0.03474      41.85    A 1200.80    -3.89326   0.28941    0.04188      50.29   96   96   0.7959
  97  91    A 1217.24     2.35762   0.17645    0.01557      18.95    A 1211.10     0.00092   0.00007    0.00000       0.00   97   97  -0.0001
  98  92    A 1217.44    -0.00066   0.00005    0.00000       0.00    A 1215.68    -2.17592   0.16275    0.01324      16.10   98   98  -0.0001
  99  93    A 1222.66    -4.87503   0.36568    0.06686      81.75    A 1227.24     0.00078   0.00006    0.00000       0.00   99   99  -0.0000
 100  94    A 1238.71    -0.00009   0.00001    0.00000       0.00    A 1242.89     6.64895   0.50285    0.12643     157.14  100  100   0.0000
 101  95    A 1264.22    -0.00004   0.00000    0.00000       0.00    A 1263.33    -1.16172   0.08858    0.00392       4.96  101  101   0.0002
 102  96    A 1280.37    -0.00036   0.00003    0.00000       0.00    A 1280.60    -0.00149   0.00011    0.00000       0.00  102  102   0.1087
 103  97    A 1280.88     5.57468   0.42800    0.09159     117.32    A 1284.10    -0.00085   0.00007    0.00000       0.00  103  103  -0.0001
 104  98    A 1321.40    -4.11123   0.32060    0.05139      67.91    A 1318.83     0.00277   0.00022    0.00000       0.00  104  104   0.0003
 105  99    A 1329.76     0.00029   0.00002    0.00000       0.00    A 1328.07     4.05765   0.31722    0.05031      66.82  105  105   0.0008
 106 100    A 1334.50     0.00024   0.00002    0.00000       0.00    A 1334.79    -0.00132   0.00010    0.00000       0.00  106  106  -0.9958
 107 101    A 1334.57     0.20880   0.01636    0.00013       0.18    A 1335.04     0.54718   0.04289    0.00092       1.23  107  107  -0.9838
 108 102    A 1368.53    -7.66608   0.60837    0.18506     253.26    A 1343.03     0.00220   0.00017    0.00000       0.00  108  108   0.0001
 109 103    A 1369.50    -0.00175   0.00014    0.00000       0.00    A 1371.90    -0.90807   0.07215    0.00260       3.57  109  109  -0.0000
 110 104    A 1370.74    -0.16955   0.01347    0.00009       0.12    A 1371.94     0.00053   0.00004    0.00000       0.00  110  110  -0.0032
 111 105    A 1370.75     0.00059   0.00005    0.00000       0.00    A 1375.51    -9.03224   0.71862    0.25820     355.16  111  111   0.0003
 112 106    A 1423.91    -0.00001   0.00000    0.00000       0.00    A 1399.54     0.41965   0.03368    0.00057       0.79  112  112  -0.0002
 113 107    A 1436.73    -7.90746   0.64298    0.20671     296.99    A 1406.73     0.00220   0.00018    0.00000       0.00  113  113   0.0000
 114 108    A 1452.07    -2.74963   0.22477    0.02526      36.68    A 1408.95     4.54290   0.36581    0.06691      94.27  114  114   0.0606
 115 109    A 1452.99     0.00029   0.00002    0.00000       0.00    A 1439.95     0.00014   0.00001    0.00000       0.00  115  115   0.7157
 116 110    A 1487.40    -0.22610   0.01871    0.00017       0.26    A 1455.96     6.41575   0.52516    0.13790     200.77  116  116  -0.4380
 117 111    A 1497.14     0.00014   0.00001    0.00000       0.00    A 1486.21     0.55816   0.04616    0.00107       1.58  117  117   0.0001
 118 112    A 1497.56    -0.03753   0.00312    0.00000       0.01    A 1495.88    -0.00140   0.00012    0.00000       0.00  118  118  -0.9666
 119 113    A 1497.56    -0.26178   0.02173    0.00024       0.35    A 1496.00     0.01888   0.00157    0.00000       0.00  119  119   0.9861
 120 114    A 1503.49    -4.35531   0.36228    0.06562      98.66    A 1497.70    -0.00080   0.00007    0.00000       0.00  120  120  -0.0001
 121 115    A 1525.52    -1.48270   0.12423    0.00772      11.77    A 1504.16     0.00044   0.00004    0.00000       0.00  121  121  -0.0000
 122 116    A 1553.65     1.16671   0.09865    0.00487       7.56    A 1535.69     5.12107   0.43051    0.09267     142.31  122  122  -0.2554
 123 117    A 1555.49     0.00005   0.00000    0.00000       0.00    A 1551.64    -1.43777   0.12149    0.00738      11.45  123  123   0.0000
 124 118    A 1579.62    -1.94279   0.16564    0.01372      21.67    A 1555.47    -0.00005   0.00000    0.00000       0.00  124  124  -0.0000
 125 119    A 1599.96     0.00000   0.00000    0.00000       0.00    A 1571.47    -5.73725   0.48790    0.11902     187.04  125  125   0.0000
 126 120    A 1619.62    -4.41423   0.38109    0.07262     117.61    A 1604.17     0.00029   0.00003    0.00000       0.00  126  126  -0.0000
 127 121    A 1628.99    -6.35143   0.54992    0.15121     246.31    A 1624.82    -2.30857   0.19963    0.01993      32.37  127  127   0.1582
 128 122    A 1654.02    -0.01346   0.00117    0.00000       0.00    A 1639.07    -4.28391   0.37206    0.06921     113.44  128  128  -0.0098
 129 123    A 1654.03     0.00020   0.00002    0.00000       0.00    A 1644.98    -0.00123   0.00011    0.00000       0.00  129  129   0.9963
 130 124    A 1675.86    -0.00001   0.00000    0.00000       0.00    A 1644.98     0.03211   0.00279    0.00000       0.01  130  130   0.0010
